tahun,wilayah,TB,Difteri,Pneumonia
2018-12-31,DKI Jakarta,42666.0,351.0,14629.0
2018-12-31,Jakarta Barat,10704.0,75.0,4776.0
2018-12-31,Jakarta Pusat,6611.0,36.0,1454.0
2018-12-31,Jakarta Selatan,6905.0,69.0,3011.0
2018-12-31,Jakarta Timur,12534.0,70.0,3413.0
2018-12-31,Jakarta Utara,5840.0,101.0,1926.0
2018-12-31,Kepulauan Seribu,71.0,0.0,49.0
2019-12-31,DKI Jakarta,12726.0,25.0,21760.0
2019-12-31,Jakarta Barat,3984.0,3.0,4776.0
2019-12-31,Jakarta Pusat,2056.0,0.0,1454.0
2019-12-31,Jakarta Selatan,2271.0,2.0,10106.0
2019-12-31,Jakarta Timur,2845.0,1.0,3413.0
2019-12-31,Jakarta Utara,1526.0,10.0,1926.0
2019-12-31,Kepulauan Seribu,43.0,9.0,85.0
2020-12-31,Kepulauan Seribu,29.0,0.0,63.0
2020-12-31,Jakarta Selatan,4462.0,0.0,5821.0
2020-12-31,Jakarta Timur,6670.0,5.0,8553.0
2020-12-31,Jakarta Pusat,4207.0,2.0,1919.0
2020-12-31,Jakarta Barat,4126.0,2.0,8362.0
2020-12-31,Jakarta Utara,2662.0,2.0,4438.0
2020-12-31,DKI Jakarta,22156.0,11.0,29156.0
2021-12-31,Kepulauan Seribu,37.0,0.0,161.0
2021-12-31,Jakarta Selatan,4812.0,2.0,3578.0
2021-12-31,Jakarta Timur,8222.0,15.0,5533.0
2021-12-31,Jakarta Pusat,5008.0,0.0,1200.0
2021-12-31,Jakarta Barat,4956.0,1.0,5850.0
2021-12-31,Jakarta Utara,3819.0,4.0,3651.0
2021-12-31,DKI Jakarta,26854.0,22.0,19973.0
2022-12-31,Jakarta Pusat,8601.0,4.0,741.0
2022-12-31,Jakarta Utara,8540.0,3.0,2166.0
2022-12-31,Jakarta Barat,10686.0,4.0,4701.0
2022-12-31,Jakarta Selatan,10356.0,4.0,2905.0
2022-12-31,Jakarta Timur,14543.0,10.0,3215.0
2022-12-31,Kepulauan Seribu,44.0,0.0,31.0
2022-12-31,DKI Jakarta,52770.0,25.0,13759.0
